2024/12/13 08:56:31 [error] 23#23: *19 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 08:56:31 [error] 22#22: *17 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 08:56:35 [error] 26#26: *23 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 08:56:35 [error] 29#29: *36 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 08:56:35 [error] 31#31: *34 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 08:56:35 [error] 28#28: *40 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 08:56:40 [error] 25#25: *33 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 08:56:40 [error] 30#30: *31 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 09:01:15 [error] 22#22: *13 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 10:02:23 [error] 26#26: *144 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 10:43:46 [error] 36#36: *16 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 10:43:46 [error] 38#38: *24 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 10:43:46 [error] 40#40: *38 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 10:43:46 [error] 40#40: *32 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 10:43:46 [error] 39#39: *28 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 10:43:46 [error] 43#43: *41 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 10:43:46 [error] 41#41: *39 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/13 10:43:51 [error] 45#45: *30 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.166.1, server: 0.0.0.0:443
2024/12/15 05:54:10 [error] 22#22: *13 [lua] init_by_lua(nginx.conf:28):19: allow_domain(): Failed to fetch domains: app could not be resolved (3: Host not found), context: ssl_certificate_by_lua*, client: 192.168.167.1, server: 0.0.0.0:443
